Source,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,pmDE,Gmag,BPmag,RPmag,BP-RP,RV,distancia_pc
801539441163416832,146.68976006074,40.87517397629,5.0,0.1274,-38.457,9.669,17.996817,17.995157,18.117167,-0.122009,,200.0
5605381128183232000,110.55985463864,-30.80029906363,5.0,0.1673,-12.888,16.16,18.576681,20.63174,17.183321,3.44842,,200.0
6291135019914702720,211.64310377085,-18.37026431291,5.0,0.0491,-61.402,-4.744,13.495405,14.298589,12.608034,1.690555,-26.17,200.0
5221130367218160896,123.37923177078,-72.31863370117,5.0,0.1056,24.267,82.855,18.090275,19.544905,16.881676,2.663229,,200.0
5596141970643497600,120.1059225119,-30.82916926782,5.0,1.0828,-5.39,8.257,20.371635,21.154099,19.16981,1.984289,,200.0
5913864100508841472,259.17687563511,-61.45328739856,5.0,0.8267,-0.577,-0.973,20.46953,21.091316,19.58692,1.504396,,200.0
4399080052035166976,238.78941971135,-4.84605308723,5.0,1.1929,3.094,-22.79,20.334688,21.435623,18.941055,2.494568,,200.0
6028625351895783040,256.027413458,-30.17059503395,5.0,0.7356,-3.733,-7.986,19.747757,20.183348,18.699648,1.4837,,200.0
2992270970293363456,91.27291871972,-15.64875737953,5.0,0.1242,48.193,45.791,18.044003,19.745115,16.79524,2.949875,,200.0
2077111265998413696,295.97431198636,41.95427713333,5.0,0.0722,51.89,18.336,17.567287,19.256605,16.321112,2.935494,,200.0
4048958754828685824,273.48645322742,-31.40327472685,5.0,0.6297,-3.606,-2.202,18.919071,18.846802,17.64363,1.203173,,200.0
4119786545163961472,265.87796516396,-19.84293671996,5.0,0.447,1.283,7.265,18.61071,19.20964,17.419865,1.789776,,200.0
4076396586428330240,279.36097346628,-25.46400021146,5.0,0.8789,0.035,5.431,19.723219,19.948881,18.161232,1.787649,,200.0
4056592835904703488,268.77461606651,-29.01776987993,5.0,1.1604,-0.284,-5.602,19.485512,20.35186,17.903122,2.448738,,200.0
4043142200916028288,268.96032078561,-33.80168773284,5.0001,1.0304,0.129,-3.297,19.778606,,,,,199.9960000799984
4333074346089858816,255.00385352388,-12.66928724688,5.0001,0.6359,-3.322,-4.916,20.149876,,,,,199.9960000799984
2519287288799334144,30.75058649977,5.42759395571,5.0001,0.0735,-27.906,-44.573,16.340319,17.730253,15.169901,2.560352,,199.9960000799984
2973786397420651392,71.14688485166,-22.47916611809,5.0001,0.1026,29.139,-26.719,17.74192,19.568981,16.467365,3.101616,,199.9960000799984
6743383943631297280,287.40977937868,-35.51403727375,5.0001,0.0263,10.206,-65.001,14.682562,15.661667,13.704033,1.957634,-16.22,199.9960000799984
4114198792597453696,259.36912540085,-23.7091925257,5.0001,0.6061,-4.347,-1.925,19.769001,20.81454,18.785383,2.029158,,199.9960000799984
5978402821728808064,256.04190289413,-33.82808156937,5.0001,1.0799,-8.08,-6.555,20.054165,20.82823,19.30993,1.518299,,199.9960000799984
1106954913478668160,95.40826637018,69.36273367448,5.0001,0.0652,-3.369,-37.088,17.235533,18.940758,15.987555,2.953203,,199.9960000799984
4387907712524640256,258.14397112884,2.84088177491,5.0001,0.0629,23.241,-26.471,16.64822,18.084768,15.487193,2.597575,,199.9960000799984
5379844015992479488,178.43337846222,-43.77028293031,5.0001,0.1705,-51.152,-2.348,18.563745,18.620703,18.483397,0.137306,,199.9960000799984
457712607445425152,38.97714583398,56.54074136278,5.0001,0.0915,-25.726,20.636,16.737488,,,,,199.9960000799984
